id,type,status,resolution,component,priority,reporter,created,assigned,assignee,resolved,created.1,assigned.1,summary,description,affected_version,fixed_version,votes,watches,description_words,assingnee_count,comment_count,commenter,Surprising,Dormant,Blocker,security,Performance,Breakage,commit_count,file_count,files,nsec,fsec
12,Improvement,Resolved,Fixed,,Major,Eric Yang,2011/09/26 23:42:56 +0100,2011/09/26 23:42:56 +0100,Eric Yang,2011/09/26 23:44:36 +0100,0.001157407,0.001157407,Add additional transition states,For running a server (daemon)  the current states are: START and STARTED. It would be nice to have transition state: STARTING  and STOPPING.,0.1.0,0.1.0,0,0,23,1,1,1,0,0,0,0,0,0,0,0,,0,0
46,Improvement,Resolved,Fixed,ambari-agent,Major,Eric Yang,2011/10/07 21:49:04 +0100,2011/10/07 21:49:04 +0100,Eric Yang,2011/10/07 21:50:48 +0100,0.001203704,0.001203704,Preserve cluster id  blueprint name  and blueprint revision in agent local disk,After agent execute commands on behave of the controller  agent should store cluster id  blueprint name and blueprint revision in the local disk to keep track of the current deployment state on the agent.,0.1.0,0.1.0,0,0,34,1,1,1,0,0,0,0,0,0,0,0,,0,0
92,Bug,Resolved,Fixed,ambari-agent,Major,Eric Yang,2011/10/21 19:14:29 +0100,2011/10/21 19:14:29 +0100,Eric Yang,2011/10/21 19:17:12 +0100,0.001886574,0.001886574,Agent should retry heartbeat message  if controller did not receive the heartbeat,If the heartbeat was not received correctly by the controller  then it should retry.,0.1.0,0.1.0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,,0,0
103,Improvement,Resolved,Fixed,ambari-server; ambari-web,Major,Eric Yang,2011/10/26 19:18:07 +0100,2011/10/26 19:18:07 +0100,Eric Yang,2011/10/26 19:25:26 +0100,0.005081019,0.005081019,Remove agent entities beans from public schema xsd,Agent entities beans are located ambari-client: org.apache.ambari.common.rest.entities.agent. Hence  schema xsd generation for public rest api will include agent entities beans. We should move it to org.apache.ambari.common.rest.agent to exclude agent entities to expose to public.,0.1.0,0.1.0,0,0,34,1,0,0,0,0,0,0,0,0,0,0,,0,0
192,Bug,Resolved,Fixed,,Major,Ramya Sunil,2012/05/08 23:24:58 +0100,2012/05/08 23:24:58 +0100,Ramya Sunil,2012/05/09 07:04:42 +0100,0.319259259,0.319259259,Check for NN safemode during restarts,There is no checks for safemode when we reconfigure the cluster.,0.9.0,0.9.0,0,0,11,1,2,2,1,0,0,0,0,0,1,2,CHANGES.txt;hmc/puppet/modules/hdp-hadoop/manifests/hdfs/service_check.pp;,0,0
198,Bug,Resolved,Fixed,ambari-server,Major,Jitendra Nath Pandey,2012/05/09 21:55:54 +0100,2012/05/09 21:55:54 +0100,Jitendra Nath Pandey,2012/05/09 23:17:43 +0100,0.05681713,0.05681713,Dependency of templeton on hcat client,hcat client should be installed at the templeton server node.,0.9.0,0.9.0,0,0,10,1,1,1,1,0,0,0,0,0,1,2,CHANGES.txt;hmc/php/puppet/genmanifest/PuppetClassDependencies.php;,0,0
199,Bug,Resolved,Fixed,ambari-server,Major,Jitendra Nath Pandey,2012/05/09 22:05:24 +0100,2012/05/09 22:05:24 +0100,Jitendra Nath Pandey,2012/05/09 23:20:11 +0100,0.05193287,0.05193287,Remove import of mysql puppet module from manifest.,Remove import of mysql puppet module from manifest because this module is deprecated.,0.9.0,0.9.0,0,0,13,1,1,1,1,0,0,0,0,0,1,2,CHANGES.txt;hmc/php/puppet/genmanifest/generateManifest.php;,0,0
202,Bug,Resolved,Fixed,,Major,Ramya Sunil,2012/05/09 23:20:37 +0100,2012/05/09 23:20:37 +0100,Ramya Sunil,2012/05/09 23:46:44 +0100,0.018136574,0.018136574,Add check to verify jdk path after install,After the jdk install  we do not validate the path. This causes problems during service start in later stages.,0.9.0,0.9.0,0,0,19,1,2,2,1,0,0,0,0,0,1,2,CHANGES.txt;hmc/puppet/modules/hdp/manifests/java/package.pp;,0,0
207,Bug,Resolved,Fixed,ambari-server,Minor,Jitendra Nath Pandey,2012/05/10 04:11:20 +0100,2012/05/10 04:11:20 +0100,Jitendra Nath Pandey,2012/05/11 15:56:58 +0100,1.490023148,1.490023148,PHP Notice: Undefined variable: manifest in /usr/share/hmc/php/puppet/genmanifest/hostsConfig.php,Undefined variable used.,0.9.0,0.9.0,0,0,4,1,1,1,1,0,0,0,0,0,0,0,,0,0
208,Bug,Resolved,Fixed,,Major,Hitesh Shah,2012/05/10 06:05:22 +0100,2012/05/10 06:05:22 +0100,Hitesh Shah,2012/05/11 15:59:05 +0100,1.412303241,1.412303241,Support filtering hosts based on discovery status,Api to get hosts should allow filtering out bad hosts,0.9.0,0.9.0,0,0,10,1,1,1,0,0,0,0,0,0,0,0,,0,0
217,Bug,Resolved,Fixed,,Major,vitthal (Suhas) Gogate,2012/05/10 22:41:47 +0100,2012/05/10 22:41:47 +0100,vitthal (Suhas) Gogate,2012/05/11 17:13:23 +0100,0.771944444,0.771944444,Alert table on the right needs to be tied visually/verbally to the context/content it is displaying,Currently in Dashboard when service entry is clicked  right side alerts table caption does not indicate that it is showing alerts related to that service. So Cpation of the table should change indicating the corresponding service name.,0.9.0,0.9.0,0,0,37,1,2,2,1,0,0,0,0,0,0,0,,0,0
222,Bug,Resolved,Fixed,,Major,vitthal (Suhas) Gogate,2012/05/11 01:10:46 +0100,2012/05/11 01:10:46 +0100,vitthal (Suhas) Gogate,2012/05/15 02:11:31 +0100,4.0421875,4.0421875,Remove the word alert from all the Nagios alerts descriptions.,IT is sort of redundant..,0.9.0,0.9.0,0,1,6,1,1,1,1,0,0,0,0,0,0,0,,0,0
226,Bug,Resolved,Fixed,,Minor,Suresh Srinivas,2012/05/11 18:29:32 +0100,,Unassigned,2012/05/15 03:31:24 +0100,3.376296296,,Make the daemon names and other field names consistent,Following names need to be consistent: Hdfs -&gt; HDFS Mapreduce -&gt; MapReduce Zookeeper -&gt; ZooKeeper HADOOP -&gt; Hadoop,0.9.0,0.9.0,0,1,20,0,1,1,1,0,0,0,0,0,0,0,,0,0
232,Bug,Resolved,Fixed,,Major,Vikram Dixit K,2012/05/11 22:13:53 +0100,2012/05/11 22:13:53 +0100,Vikram Dixit K,2012/05/15 03:45:36 +0100,3.230358796,3.230358796,Enable LZO should show checkbox instead of text,Currently the enable lzo option shows a text box that needs to be filled with true/false. Changing the UI element to checkbox.,0.9.0,0.9.0,0,1,22,1,2,2,1,0,0,0,0,0,0,0,,0,0
236,Bug,Resolved,Fixed,ambari-server,Major,Jitendra Nath Pandey,2012/05/12 18:07:18 +0100,2012/05/12 18:07:18 +0100,Jitendra Nath Pandey,2012/05/15 04:15:29 +0100,2.422349537,2.422349537,Increase puppet agent timeout.,Puppet agent timeout should be increases as sometimes (possibly due to a bug in ruby) puppet master takes long time to compile and send back the catalog.,0.9.0,0.9.0,0,1,27,1,1,1,0,0,0,0,0,0,0,0,,0,0
237,Bug,Resolved,Fixed,ambari-server,Major,Jitendra Nath Pandey,2012/05/12 18:16:26 +0100,2012/05/12 18:16:26 +0100,Jitendra Nath Pandey,2012/05/16 07:36:09 +0100,3.555358796,3.555358796,Refactor puppet kick loop to easily change retries and timeouts.,Refactor puppet kick loop to easily change retries and timeouts.,0.9.0,0.9.0,0,1,10,1,1,1,0,0,0,0,1,0,0,0,,0,0
245,Bug,Resolved,Fixed,ambari-server,Major,Jitendra Nath Pandey,2012/05/15 00:52:33 +0100,2012/05/15 00:52:33 +0100,Jitendra Nath Pandey,2012/05/17 21:00:13 +0100,2.838657407,2.838657407,Support data cleanup if installation fails.,We need to support data cleanup so that a cluster can be re-installed in case of failures.,0.9.0,0.9.0,0,2,17,1,1,1,0,0,0,0,0,0,0,0,,0,0
247,Bug,Resolved,Fixed,,Major,Varun Kapoor,2012/05/15 02:13:48 +0100,2012/05/15 02:13:48 +0100,Varun Kapoor,2012/06/05 23:47:38 +0100,21.89849537,21.89849537,Replace index.php with clusters.php,Like the title says: overwrite index.php with the contents of clusters.php  making sure to add a link to the AddNodesWizard as well.,0.9.0,0.9.0,0,2,22,1,1,1,0,0,0,0,0,0,0,0,,0,0
249,Bug,Resolved,Fixed,,Major,Vikram Dixit K,2012/05/15 03:03:35 +0100,2012/05/15 03:03:35 +0100,Vikram Dixit K,2012/05/18 07:06:07 +0100,3.168425926,3.168425926,Uninstall support from UI,Uninstall/wipeout support from UI.,0.9.0,0.9.0,0,2,4,1,4,2,0,0,0,0,0,0,0,0,,0,0
252,Bug,Resolved,Fixed,,Major,Varun Kapoor,2012/05/15 21:27:32 +0100,2012/05/15 21:27:32 +0100,Varun Kapoor,2012/05/17 20:57:31 +0100,1.979155093,1.979155093,Remove 'Playground' files from HMC,There's a bunch of (temporary playground) files that got wrongly committed to the HMC codebase  so this is to remove all of them and get things into a cleaner state (at least on the face of things).,0.9.0,0.9.0,0,2,37,1,2,2,0,0,0,0,0,0,0,0,,0,0
