id,type,status,resolution,component,priority,reporter,created,assigned,assignee,resolved,created.1,assigned.1,summary,description,affected_version,fixed_version,votes,watches,description_words,assingnee_count,comment_count,commenter,Surprising,Dormant,Blocker,security,Performance,Breakage,commit_count,file_count,files,nsec,fsec
72,Bug,Closed,Fixed,camel-core,Major,Willem Jiang,2007/07/08 11:33:06 +0100,,Unassigned,2007/07/09 10:00:19 +0100,0.93556713,,FileConfigureTest can't pass in Windows box,Because of the File.separator is different between the unix and windows system. So the test can't pass in windows box.I just attached a patch for it. Please have a look at it  I tested it in windows box.,1.1.0,1.1.0,0,0,38,0,1,1,0,0,0,0,0,0,1,1,camel-core/src/test/java/org/apache/camel/component/file/FileConfigureTest.java;,0,0
84,Improvement,Closed,Fixed,camel-core,Major,Brian McCallister,2007/08/03 00:41:31 +0100,2008/05/21 18:50:34 +0100,Hadrian Zbarcea,2008/09/25 16:30:09 +0100,419.6587731,126.9024884,Throw Useful Exception on No TypeConverter Available,When there is no type converter available an NPE is thrown that requires tracing through sources to find root of problem,1.0.0,1.5.0,0,0,21,1,9,3,0,0,0,0,0,0,2,2,camel-core/src/main/java/org/apache/camel/NoTypeConversionAvailableException.java;camel-core/src/main/java/org/apache/camel/processor/ConvertBodyProcessor.java;,0,0
100,Improvement,Closed,Fixed,camel-activemq,Minor,Aaron Crickenberger,2007/08/13 20:28:46 +0100,,Unassigned,2007/09/04 11:05:01 +0100,21.60850694,,Most recent snapshot requires ActiveMQ,This may be moot given the projects' relationship  but it's a recently introduced side effect. Before the most recent snapshot  I was able to use Camel without any ActiveMQ jar's floating around so long as I never tried to use any 'activemq:queue:foo' URI's. Now with the most recent snapshot  the first time I do something that uses AnnotationTypeCoverterLoader  ActiveMQConverter gets loaded  and then causes a NoClassDefFoundError for ActiveMQDestination.,1.1.0,1.2.0,0,0,69,0,7,2,0,0,0,0,0,1,3,11,tests/camel-partial-classpath-test/pom.xml;tests/camel-partial-classpath-test/src/test/java/org/apache/camel/tests/partialclasspath/RouteTest.java;tests/camel-partial-classpath-test/src/test/resources/log4j.properties;tests/pom.xml;tests/camel-partial-classpath-test/src/test/java/org/apache/camel/tests/partialclasspath/MyBean.java;tests/camel-partial-classpath-test/src/test/java/org/apache/camel/tests/partialclasspath/MyConverter.java;tests/camel-partial-classpath-test/src/test/java/org/apache/camel/tests/partialclasspath/RouteTest.java;tests/camel-partial-classpath-test/src/test/resources/META-INF/services/org/apache/camel/TypeConverter;camel-core/src/main/java/org/apache/camel/impl/DefaultComponentResolver.java;camel-core/src/main/java/org/apache/camel/impl/converter/AnnotationTypeConverterLoader.java;tests/camel-partial-classpath-test/src/test/resources/log4j.properties;,0,0
112,Bug,Closed,Fixed,camel-activemq,Major,james strachan,2007/08/17 17:05:54 +0100,,Unassigned,2007/08/17 17:13:12 +0100,0.005069444,,JMSXGroupID is not copied across ActiveMQ endpoints,See thread: http://www.nabble.com/MethodName-in-header-is-ignored-by-beanRef%28%29-tf4285009s22882.html#a12198390,1.1.0,1.2.0,0,0,6,0,1,1,0,0,0,0,0,0,1,4,components/camel-activemq/src/test/java/org/apache/camel/component/activemq/ActiveMQReplyToHeaderUsingConverterTest.java;components/camel-jms/src/main/java/org/apache/camel/component/jms/EndpointMessageListener.java;components/camel-jms/src/main/java/org/apache/camel/component/jms/JmsBinding.java;components/camel-jms/src/main/java/org/apache/camel/component/jms/JmsMessage.java;,0,0
132,Improvement,Closed,Fixed,camel-http,Major,james strachan,2007/08/31 12:12:02 +0100,,Unassigned,2007/08/31 12:43:21 +0100,0.021747685,,enable polling via the http component,enable polling via the http component,1.1.0,1.2.0,0,0,1,0,1,1,1,0,0,0,0,0,1,4,components/camel-http/src/main/java/org/apache/camel/component/http/HttpComponent.java;components/camel-http/src/main/java/org/apache/camel/component/http/HttpEndpoint.java;components/camel-http/src/main/java/org/apache/camel/component/http/HttpPollingConsumer.java;components/camel-http/src/test/java/org/apache/camel/component/http/HttpPollingGetTest.java;,0,0
143,Improvement,Closed,Fixed,camel-core,Major,Dejan Predovic,2007/09/11 10:56:38 +0100,,Unassigned,2007/10/12 10:55:16 +0100,30.99905093,,XPath namespaces configuration not possible through xml,Xpath xml element offers no way to define namespace mappings.,1.1.0,1.3.0,0,0,10,0,1,1,1,0,0,0,0,0,2,12,camel-core/src/main/java/org/apache/camel/builder/xml/XPathBuilder.java;camel-core/src/main/java/org/apache/camel/model/language/ElementAwareExpression.java;camel-core/src/main/java/org/apache/camel/model/language/XPathExpression.java;camel-core/src/main/java/org/apache/camel/spi/ElementAware.java;camel-core/src/test/java/org/apache/camel/builder/xml/XPathWithNamespacesFromDomTest.java;components/camel-spring/src/main/java/org/apache/camel/spring/handler/CamelNamespaceHandler.java;components/camel-spring/src/test/java/org/apache/camel/spring/processor/SpringXPathFilterWithNamespaceTest.java;components/camel-spring/src/test/resources/org/apache/camel/spring/processor/xpathFilterWithNamespace.xml;camel-core/src/main/java/org/apache/camel/model/language/ExpressionType.java;camel-core/src/main/java/org/apache/camel/model/language/XPathExpression.java;camel-core/src/test/java/org/apache/camel/processor/XPathFilterTest.java;components/camel-spring/src/main/java/org/apache/camel/spring/handler/CamelNamespaceHandler.java;,0,0
161,Bug,Closed,Fixed,,Trivial,Bozhong Lin,2007/09/28 05:04:46 +0100,2007/09/28 05:04:46 +0100,james strachan,2007/10/01 16:17:52 +0100,3.467430556,3.467430556,URL link broken in org.apache.camel.Processor API doc,'Message Transformer' link is broken.,1.1.0,1.2.0,0,0,5,1,1,1,0,0,0,0,0,0,1,1,camel-core/src/main/java/org/apache/camel/Processor.java;,0,0
166,Bug,Closed,Fixed,camel-core,Blocker,Bozhong Lin,2007/10/09 06:24:42 +0100,,Unassigned,2007/10/10 18:40:18 +0100,1.510833333,,org.apache.camel.processor.UnitOfWorkWithAsyncFlowTest failure,Running org.apache.camel.processor.UnitOfWorkWithAsyncFlowTestTests run: 3  Failures: 1  Errors: 0  Skipped: 0  Time elapsed: 20.345 sec &lt;&lt;&lt; FAILURE!This prevents developer from building camel under Linux platform. Thanks!,1.1.0,1.2.0,0,0,25,0,3,2,0,0,0,0,0,0,2,3,camel-core/pom.xml;camel-core/pom.xml;camel-core/src/test/java/org/apache/camel/processor/UnitOfWorkTest.java;,0,0
199,Improvement,Closed,Fixed,camel-core,Minor,Gert Vanthienen,2007/11/02 08:11:47 +0100,,Unassigned,2007/11/16 18:38:25 +0100,14.43516204,,New converter : Node -> Source,Currently  there is no converter from Node -&gt; Source.It is required when using Camel's splitter() functionality inside ServiceMix:from('jbi:service:urn:eu:java:smx:fleetintegrator:camel') .splitter(xpath('/traces/trace')) .to('jbi:endpoint:urn:eu:java:smx:fleetintegrator:jms:mq');,1.2.0,1.3.0,0,0,30,0,1,1,0,0,0,0,0,0,1,2,camel-core/src/main/java/org/apache/camel/converter/jaxp/XmlConverter.java;camel-core/src/test/java/org/apache/camel/converter/JaxpTest.java;,0,0
210,Bug,Closed,Fixed,camel-core,Major,Roman Kalukiewicz,2007/11/06 12:46:53 +0100,2007/11/06 12:46:53 +0100,Hadrian Zbarcea,2007/11/14 13:16:01 +0100,8.020231481,8.020231481,exception clause doesn't proceed with pipeline,Problem is very similar to CAMEL-191 but this time with exception clause.As exceptions are not cleared pipeline doesn't proceed.,1.3.0,1.3.0,0,0,29,1,4,3,1,0,0,0,0,0,2,5,camel-core/src/main/java/org/apache/camel/processor/Pipeline.java;camel-core/src/test/java/org/apache/camel/processor/PipelineTest.java;camel-core/src/main/java/org/apache/camel/processor/DeadLetterChannel.java;camel-core/src/main/java/org/apache/camel/util/ExchangeHelper.java;camel-core/src/test/java/org/apache/camel/issues/ExceptionTest.java;,0,0
214,Bug,Closed,Fixed,,Major,james strachan,2007/11/13 13:20:42 +0100,2007/11/13 13:20:42 +0100,Hadrian Zbarcea,2008/03/31 22:26:54 +0100,139.3793056,139.3793056,the 1.2.0 release didnt' seem to include the javadocs or doc directory (or manual)!,I wondered if this was due to your machine Hiram having some dodgy maven plugin around or something?,1.2.0,1.3.0,0,0,18,1,4,3,1,0,0,0,0,0,0,0,,0,0
224,Bug,Closed,Fixed,camel-core,Major,Arjan Moraal,2007/11/16 09:33:43 +0100,,Unassigned,2007/11/16 19:01:12 +0100,0.394085648,,Headers lost after XSLT processing,After xslt processing the message headers are lost. See attached unit test  this test fails since revision 590680.http://svn.apache.org/viewvc?view=rev&amp;revision=590680,1.3.0,1.3.0,0,1,21,0,2,2,1,0,0,0,0,0,2,3,camel-core/src/main/java/org/apache/camel/builder/xml/XsltBuilder.java;camel-core/src/main/java/org/apache/camel/builder/xml/XsltBuilder.java;components/camel-juel/src/test/java/org/apache/camel/language/juel/issues/XsltLosesHeaderTest.java;,0,0
