id,type,status,resolution,component,priority,reporter,created,assigned,assignee,resolved,fixingTimeFromCreate,fixingTimeFromAssignment,summary,description,affectVersion,fixVersion,votes,watches,description_words,assingnee_count,comment_count,commentator_count,Surprising,Dormant,Blocker,security,Performance,Breakage,commit_count,file_count,files,nsec,fsec
5,Bug,Closed,Fixed,Network Server,Major,Tulika Agrawal,2004/09/28 01:20:46 +0100,2004/09/28 01:20:46 +0100,A B,2005/09/16 03:14:48 +0100,353.0791898,353.0791898,Network Server Protocol error when select fails and 'order by' is specified,Reporting for Army  filed on derby-dev list.If  when using the Network Server  one tries to execute a select statement that fails because of an SQL exception (ex. divide-by-zero)  and if an 'order by' clause is specified as part of the select  the server will throw a distributed protocol exception  instead of the appropriate error.Repro (using the 'ij' utility)ij&gt; connect 'jdbc:derby:net://localhost:1527/myDB:user=u;password=p;';ij&gt; create table t1 (i int  j int);0 rows inserted/updated/deletedij&gt; insert into t1 values (2 0);1 row inserted/updated/deleted&#8211; Without an 'order by' it's fine...&#8211; (22012 ==&gt; 'Attempt to divide by zero.'  which is fine)ij&gt; select {fn mod(i j)} from t1;1-----------ERROR 22012: DB2 SQL error: SQLCODE: -1  SQLSTATE: 22012  SQLERRMC: 22012&#8211; With an order by  it dies...ij&gt; select {fn mod(i j)} from t1 order by 1;ERROR 58009: Execution failed due to a distribution protocol error that caused deallocation of the conversation. A DRDA Data Stream Syntax Error was detected. Reason: 0x13NOTES:The problem is in the DRDAConnThread.java file  'processCommands(...)' method  in the 'case CodePoint.OPNQRY' block of code. In the case of an SQL exception  there's a call to 'writer.clearBuffer()' that is used to ensure that only an OPNQFLRM is sent back to the client  not the OPNQRYRM and/or QRYDSC that may have been written to buffer before the OPNQFLRM. That call to 'clearBuffer' has to be replaced with something smarter  so that instead of doing a full clear (which causes the problem shown above)  it only backs out the buffer writes that it has made since beginning the 'case CodePoint.OPNQRY' block...,10.0.2.0,10.1.1.0; 10.2.1.6,0,0,245,1,4,2,0,0,0,0,0,0,0,0,,0,0
19,Bug,Closed,Fixed,Services,Minor,Ramandeep Kaur,2004/09/29 20:09:06 +0100,2005/05/26 06:25:28 +0100,Daniel John Debrunner,2005/05/28 02:51:25 +0100,240.2793866,1.851354167,NPE when trying to create a database at a directory that is not allowed,Opening this bug on behalf of Daniel Debrunner--------------------------------------------------------------This bug occurs in embedded Derby and Derby Network Server. In Derby Network Server  it might be best for a security exception to be thrown when trying to create a database at a disallowed directory (SQLSTATE 38000).This bug can be reproduced in IJ like so:(if your 'D' drive is an inaccessible disk. e.g. your CD-ROM)ij&gt; connect 'jdbc:derby:d:/wombat2;create=true';ERROR XJ041: Failed to create database 'd:/wombat2',10.0.2.0,10.1.1.0,0,0,70,1,3,2,0,0,0,0,0,0,1,3,java/engine/org/apache/derby/iapi/services/monitor/PersistentService.java;java/engine/org/apache/derby/impl/services/monitor/PersistentServiceImpl.java;java/engine/org/apache/derby/impl/services/monitor/TopService.java;,1,1
38,Bug,Closed,Fixed,SQL,Major,Mamta A. Satoor,2004/10/11 05:47:29 +0100,2004/10/13 15:52:37 +0100,Mamta A. Satoor,2004/10/13 15:53:49 +0100,2.421064815,0.000833,Make LOCKS as non-reserved keyword in Derby since it is not a reserved keyword in the SQL standards,Since LOCKS is not a reserved keyword in SQL standards  Derby should not make LOCKS as reserved keyword.,10.0.2.0,10.0.2.0,0,0,18,1,0,0,0,0,0,0,0,0,1,1,java/engine/org/apache/derby/impl/sql/compile/sqlgrammar.jj;,0,0
42,Improvement,Closed,Fixed,Services,Major,Sunitha Kambhampati,2004/10/15 01:26:43 +0100,2004/10/15 01:26:43 +0100,Sunitha Kambhampati,2005/06/05 02:48:28 +0100,233.0567708,233.0567708,When using encryption  do not store the length information about the external key in service.properties,When using derby database encryption there is a provision to provide the key to be used for encryption as an external key. In this case the key is not stored in the database for added security. There should not be any useful information about the external key that was used for encrypting the database in the service.properties.Right now  key length is stored in service.properties. This should not be stored in service.properties.,10.0.2.0,10.0.2.1,0,0,70,1,4,2,0,0,0,1,0,0,1,1,java/engine/org/apache/derby/impl/services/jce/JCECipherFactory.java;,1,1
44,Improvement,Closed,Fixed,JDBC,Major,Lance Andersen,2004/10/18 20:03:08 +0100,2004/11/05 04:01:24 +0100,Myrna van Lunteren,2004/11/10 18:38:44 +0100,22.94138889,5.609259259,Support for like ? Escape ?,Request to have support forSelect * from foo where like ? escape ?This functionality works with other JDBC/RDBMS combos including DB2/DB2 universal driver.This functionality is beneficial for tools as well as appservers for generating the SQL from EJBQL,10.0.2.0,10.0.2.0,0,0,38,1,1,1,0,0,0,0,0,0,1,4,java/engine/org/apache/derby/iapi/reference/SQLState.java;java/engine/org/apache/derby/iapi/types/Like.java;java/engine/org/apache/derby/impl/sql/compile/sqlgrammar.jj;java/engine/org/apache/derby/loc/messages_en.properties;,0,0
45,Improvement,Closed,Fixed,SQL,Major,Lance Andersen,2004/10/18 20:06:26 +0100,2004/11/11 20:05:19 +0100,Myrna van Lunteren,2004/11/12 19:28:30 +0100,24.97365741,0.97443287,Request support for CAST() in Like clause,Request support for CAST() in like clause for example:select t0.ID  t0.QUANTITY  t0.NAME  t0.PRICE  t0.PNUM from PRODUCTEJB_TABLE t0 where t0.NAME like CAST (? AS VARCHAR(32672))This is supported by DB2 and will ease migration between DB2 and Derby,10.0.2.0,10.0.2.2,0,0,36,1,1,1,0,0,0,0,0,0,2,3,java/engine/org/apache/derby/impl/sql/compile/LikeEscapeOperatorNode.java;java/testing/org/apache/derbyTesting/functionTests/master/LOB.out;java/testing/org/apache/derbyTesting/functionTests/master/dynamicLikeOptimization.out;,0,0
85,Bug,Closed,Fixed,SQL,Major,A B,2004/12/01 03:05:54 +0100,2005/06/20 05:24:01 +0100,Dyre Tjeldvoll,2006/04/29 07:27:55 +0100,514.181956,313.0860417,NPE when creating a trigger on a table and default schema doesn't exist.,BACKGROUND:When connecting to a Derby db with a user id and password  the default schema is USER. For example  if I connect with:ij&gt; connect 'jdbc:derby:myDB;user=someUser;password=somePwd';then the default schema is 'SOMEUSER'.PROBLEM:It turns out that if a table t1 exists in a non-default schema and the default schema (in this case  'SOMEUSER') doesn't exist yet (because no objects have been created in that schema)  then attempts to create a trigger on t1 using its qualified name will lead to a null pointer exception in the Derby engine.REPRO:In ij:&#8211; Create database with default schema 'SOMEUSER'.ij&gt; connect 'jdbc:derby:myDB;create=true;user=someUser;password=somePwd';&#8211; Create table t1 in a non-default schema; in this case  call it 'ITKO'.ij&gt; create table itko.t1 (i int);0 rows inserted/updated/deleted&#8211; Now schema ITKO exists  and T1 exists in schema ITKO  but default schema SOMEUSER does NOT exist  because we haven't created any objects in that schema yet.&#8211; So now we try to create a trigger in the ITKO (i.e. the non-default) schema...ij&gt; create trigger trig1 after update on itko.t1 for each row mode db2sql select * from sys.systables;ERROR XJ001: Java exception: ': java.lang.NullPointerException'.A look at the derby.log file shows the stack trace given below. In a word  it looks like the 'compilation schema' field of SYS.SYSTRIGGERS isn't getting set  and so it ends up being null. That causes the NPE in subsequent processing...java.lang.NullPointerException at org.apache.derby.impl.sql.catalog.SYSSTATEMENTSRowFactory.makeSYSSTATEMENTSrow(SYSSTATEMENTSRowFactory.java:200) at org.apache.derby.impl.sql.catalog.DataDictionaryImpl.addSPSDescriptor(DataDictionaryImpl.java:2890) at org.apache.derby.impl.sql.execute.CreateTriggerConstantAction.createSPS(CreateTriggerConstantAction.java:354) at org.apache.derby.impl.sql.execute.CreateTriggerConstantAction.executeConstantAction(CreateTriggerConstantAction.java:258) at org.apache.derby.impl.sql.execute.MiscResultSet.open(MiscResultSet.java:56) at org.apache.derby.impl.sql.GenericPreparedStatement.execute(GenericPreparedStatement.java:366) at org.apache.derby.impl.jdbc.EmbedStatement.executeStatement(EmbedStatement.java:1100) at org.apache.derby.impl.jdbc.EmbedStatement.execute(EmbedStatement.java:509) at org.apache.derby.impl.jdbc.EmbedStatement.execute(EmbedStatement.java:467) at org.apache.derby.impl.tools.ij.ij.executeImmediate(ij.java:299) at org.apache.derby.impl.tools.ij.utilMain.doCatch(utilMain.java:433) at org.apache.derby.impl.tools.ij.utilMain.go(utilMain.java:310) at org.apache.derby.impl.tools.ij.Main.go(Main.java:210) at org.apache.derby.impl.tools.ij.Main.mainCore(Main.java:176) at org.apache.derby.impl.tools.ij.Main14.main(Main14.java:56) at org.apache.derby.tools.ij.main(ij.java:60),10.0.2.0,10.1.3.1; 10.2.1.6,0,0,249,1,26,6,0,0,0,1,0,0,1,3,java/engine/org/apache/derby/impl/sql/execute/CreateTriggerConstantAction.java;java/testing/org/apache/derbyTesting/functionTests/master/triggerGeneral.out;java/testing/org/apache/derbyTesting/functionTests/tests/lang/triggerGeneral.sql;,0,0
88,Bug,Closed,Fixed,Test,Minor,Daniel John Debrunner,2004/12/05 06:22:38 +0100,2005/01/24 17:13:48 +0100,Andrew McIntyre,2006/02/08 14:22:24 +0100,430.3331713,379.8809722,RunSuite summary rounds incorrectly,Example output from RunSuite in the report file203 Tests Run100% Pass (202 tests passed) 0% Fail (1 tests failed)A single failure should not lead to 0% fail and 100% pass.Should round down on pass percentage and round up on fail percentage.,10.0.2.1,10.2.1.6,0,0,41,2,3,2,0,0,0,0,0,0,1,3,BUILDING.txt;build.xml;java/testing/org/apache/derbyTesting/functionTests/harness/GenerateReport.java;,0,0
90,Bug,Closed,Fixed,Tools,Major,Ron Reuben,2004/12/06 23:45:53 +0100,2004/12/06 23:45:53 +0100,A B,2004/12/06 23:50:12 +0100,0.002997685,0.002997685,dblook displays message keys instead of their associated text,Using Derby version 10.0.2.1 - (106978)  when I execute java org.apache.derby.tools.dblookinstead of getting the usage message  I get CSLOOK_UsageSimilarly  when using dblook to generate database schema  the output text contains keys such as the one above  instead of their associated text. e.g.&#8211; CSLOOK_Timestamp  &lt;2004-12-04 19:22:57.038&gt;&#8211; CSLOOK_DBName  &lt;sample&gt;&#8211; CSLOOK_DBUrl  &lt;jdbc:derby:sample&gt;&#8211; appendLogs: false&#8211; ----------------------------------------------&#8211; CSLOOK_SchemasHeader&#8211; ----------------------------------------------CREATE SCHEMA 'SAMP';&#8211; ----------------------------------------------&#8211; CSLOOK_TablesHeader&#8211; ----------------------------------------------CREATE TABLE 'SAMP'.'IN_TRAY' ('RECEIVED' TIMESTAMP  'SOURCE' CHAR(8)  'SUBJECT' CHAR(64)  'NOTE_TEXT' VARCHAR(3000));,10.0.2.1,10.0.2.1,0,0,70,1,1,1,1,0,0,0,0,0,0,0,,0,0
94,Bug,Closed,Fixed,Store,Major,Sunitha Kambhampati,2004/12/08 00:02:00 +0100,2004/12/08 03:15:09 +0100,Suresh Thalamati,2005/01/20 05:39:27 +0100,43.23434028,43.10020833,Lock not being released properly  possibly related to occurence of lock escalation,In the following scenario: &lt;code snippet&gt; String sel = 'select * from t1 FOR UPDATE of i2'; PreparedStatement ps1 = conn.prepareStatement (sel); int val = 300; ps1.setMaxRows(val); ResultSet rs = ps1.executeQuery(); String ins = 'Update t1 set i2=? WHERE CURRENT OF '+rs.getCursorName() ; PreparedStatement ps2 = conn.prepareStatement(ins); ps2.setInt(1 iteration); while(rs.next()) { ps2.executeUpdate(); }; // print lock table information System.out.println('Lock Table before commit transaction'); printLockTable(conn); conn.commit();&lt;end code snippet&gt;Running the above transaction twice causes a lock timeout the second time.It seems like locks are not being released properly on the table even after the transaction commits and the connection is closed. Also  this condition seems to happen only when lock escalation to table lock occurs. By increasing lock escalation threshold to prevent lock escalation and with only row level locking  the locks are released properly.I printed out the locks information and see a U row level lock on the table   and also a table level lock as a result of lock escalation. After commit  and resultset being closed  the U row level lock is not released. Thus in the second iteration of the test  the unreleased U row level lock causes a lock timeout to happen. In case of the second iteration of the test  the lock table shows the previous U row lock with a null transaction id. This is not right. The transactions are running at the default isolation level ( read committed).By default  the lock escalation threshold is set to 5000http://incubator.apache.org/derby/manuals/tuning/perf80.html#IDX547I will be attaching the program for reproduction. To reproduce the problem with less number of rows in the table  please run the program with the following derby properties set derby.locks.deadlockTrace=truederby.locks.escalationThreshold=110,10.0.2.1,10.1.1.0,0,1,275,1,4,3,1,0,0,0,0,0,1,6,java/engine/org/apache/derby/impl/store/raw/xact/RowLocking2.java;java/testing/org/apache/derbyTesting/functionTests/master/derby94.out;java/testing/org/apache/derbyTesting/functionTests/suites/storetests.runall;java/testing/org/apache/derbyTesting/functionTests/tests/storetests/copyfiles.ant;java/testing/org/apache/derbyTesting/functionTests/tests/storetests/derby94.sql;java/testing/org/apache/derbyTesting/functionTests/tests/storetests/derby94_derby.properties;,0,0
