id,type,status,resolution,component,priority,reporter,created,assigned,assignee,resolved,created.1,assigned.1,summary,description,affected_version,fixed_version,votes,watches,description_words,assingnee_count,comment_count,commenter,Surprising,Dormant,Blocker,security,Performance,Breakage,commit_count,file_count,files,nsec,fsec
12,Improvement,Resolved,Fixed,wicket,Major,J.W. Janssen,2006/10/20 11:16:20 +0100,2009/10/24 12:59:03 +0100,Juergen Donnerstag,2009/10/24 12:59:03 +0100,1100.071331,0,open Modal Window without AjaxRequestTarget,Wicket 1.2.2 included a new Modal Window component. However  this component can only be used with a valid AjaxRequestTarget. It would be useful if Modal Windows could be opened programmatically at any time without an AjaxRequestTarget.,2.0 branch (discontinued); 1.2.6; 1.3.0-beta1,1.4.4; 1.5-M1,5,3,36,1,21,14,0,0,0,0,0,0,1,1,wicket-extensions/src/main/java/org/apache/wicket/extensions/ajax/markup/html/modal/ModalWindow.java;,0,0
16,Bug,Closed,Fixed,wicket,Major,Korbinian Bachl,2006/10/25 15:01:24 +0100,2006/10/25 20:43:05 +0100,Frank Bille Jensen,2006/10/26 00:18:42 +0100,0.387013889,0.149733796,missing base64/ URL encoding,yesterday i showed the concept of omponents to a friend and stumled into something i dont understand and think it might be a bug. I have a small panelcompoment that holds a searchform (textfield + submit) nothing special here  the code behind looks like:  @Override public void onSubmit()  { String suchFeld = getSuchfeld(); if(suchFeld.length()&gt;0) { PageParameters params = new PageParameters(); params.add('finde' suchFeld); setResponsePage(Suche.class params); } else { setResponsePage(getPage().getClass()); }  }the component is put into a 'BasePage': public BasePage() { ....  add(bar); add(new SuchPanel('SuchPanel')); .....}wich is then extended by the real page:public class Foo extends BasePage{ /** Creates a new instance of Zigarren */ public Foo() { }wich works all fine  however if the class name contains non ascii letters(e.g:    etc.) it gives me a bug if nothing is entered into the search and the partpublic class Zubehr extends BasePage{ /** Creates a new instance of Zubehr */ public Zubehr() { }'setResponsePage(getPage().getClass());' comes to action  the trouble is that the page might have the URL:?wicket:bookmarkablePage=:de.pages.Zubeh%C3%B6rbut the form tries to go to : wicket:bookmarkablePage=:de.pages.Zubeh%F6rwich results in a CODE 404 in the App Server,2.0 branch (discontinued); 1.2.2,2.0 branch (discontinued); 1.2.3,0,0,187,1,3,1,0,0,0,0,0,0,4,17,wicket/src/main/java/wicket/protocol/http/request/AbstractWebRequestCodingStrategy.java;wicket/src/test/java/wicket/protocol/http/request/AbstractWebRequestCodingStrategyTest.java;wicket/src/test/java/wicket/protocol/http/request/NnciiPge.html;wicket/src/test/java/wicket/protocol/http/request/NnciiPge.java;wicket/src/changes/changes.xml;wicket/src/main/java/wicket/protocol/http/request/WebRequestCodingStrategy.java;wicket/src/test/java/wicket/protocol/http/request/NnciiPge.html;wicket/src/test/java/wicket/protocol/http/request/NnciiPge.java;wicket/src/test/java/wicket/protocol/http/request/WebRequestCodingStrategyTest.java;wicket/.settings/org.eclipse.core.resources.prefs;wicket/src/test/java/wicket/protocol/http/request/AbstractWebRequestCodingStrategyTest.java;wicket/src/test/java/wicket/protocol/http/request/NnciiPge.html;wicket/src/test/java/wicket/protocol/http/request/NnciiPge.java;wicket/.settings/org.eclipse.core.resources.prefs;wicket/src/test/java/wicket/protocol/http/request/NnciiPge.html;wicket/src/test/java/wicket/protocol/http/request/NnciiPge.java;wicket/src/test/java/wicket/protocol/http/request/WebRequestCodingStrategyTest.java;,0,0
31,Bug,Resolved,Fixed,wicket,Minor,Bernhard Frauendienst,2006/11/04 01:30:02 +0100,2006/11/04 01:40:15 +0100,Martijn Dashorst,2006/11/04 13:47:42 +0100,0.512268519,0.505173611,Wrong source paths in build.xml,The paths used in the ant build.xml don't match the actual file structure. In particular  the following changes should be made:The following lines should be changed &lt;property name='src.main.dir' value='src/java' /&gt; &lt;property name='src.test.dir' value='src/test' /&gt;into+ &lt;property name='src.main.dir' value='src/main/java' /&gt;+ &lt;property name='src.test.dir' value='src/test/java' /&gt;,1.2.3,2.0 branch (discontinued); 1.2.4; 1.3.0-beta1,0,0,44,1,1,1,0,0,0,0,0,0,2,4,wicket-examples/src/assembly/build.xml;wicket-parent/src/assembly/build.xml;wicket-parent/src/assembly/build.xml;wicket-spring-examples/src/assembly/build.xml;,0,0
38,Bug,Resolved,Fixed,wicket,Minor,Alexander Kellett,2006/11/06 08:39:47 +0100,2007/02/23 13:00:47 +0100,Jean-Baptiste Quenot,2007/03/12 23:05:59 +0100,126.6015278,17.42027778,WicketTester fails when calling clickLink on a ResourceLink to a mounted resource,Basics of the testcase are:// in WebApplicationapplication.getSharedResources().add('mountedResource'  new MountedResource());ResourceReference mountedResourceRef = new ResourceReference('mountedResource');application.mountSharedResource('/mountedLink'  mountedResourceRef.getSharedResourceKey());// in WebPageadd(new ResourceLink('mountedResourceLink'  new ResourceReference('mountedResource')));// in testcase itselftester.startPage(LinksPage.class);tester.clickLink('mountedResourceLink'); I've attached an Eclipse generated project  it has a build.xml which should work on the command line  and uses TestNG for the tests.The .war (which can be built using Eclipse) has working links.,2.0 branch (discontinued); 1.2.3,1.3.0-beta1,0,0,75,1,5,3,0,0,0,0,0,0,3,6,wicket/src/main/java/wicket/util/tester/WicketTester.java;wicket/src/test/java/wicket/util/tester/MockResourceLinkPage.html;wicket/src/test/java/wicket/util/tester/MockResourceLinkPage.java;wicket/src/test/java/wicket/util/tester/WicketTesterTest.java;wicket/src/main/java/wicket/util/tester/WicketTester.java;wicket/src/main/java/wicket/util/tester/WicketTester.java;,0,0
81,Improvement,Resolved,Fixed,wicket,Major,Martijn Dashorst,2006/11/16 17:16:56 +0100,,Unassigned,2007/01/05 06:20:40 +0100,49.54425926,,Make debug settings session dependent,Currently  the debug settings are global. i.e. everyone gets to see the ajax debug link  or nobody. For production systems it is not acceptable to generate the debug link for all users  but it might be beneficial to quickly see what is going wrong on a site if you can enable the debug link programmatically for a single user.I can imagine that other settings also benefit from this.,2.0 branch (discontinued); 1.3.0-beta1,,0,0,68,0,3,2,0,0,0,0,0,0,2,3,wicket/src/main/java/wicket/Application.java;wicket/src/main/java/wicket/Component.java;wicket/src/main/java/wicket/Application.java;,0,0
82,Improvement,Closed,Fixed,wicket,Major,Igor Vaynberg,2006/11/16 19:46:05 +0100,2006/11/16 19:46:05 +0100,Igor Vaynberg,2006/11/16 19:54:58 +0100,0.006168981,0.006168981,Support case insensitive mount paths,http://www.nabble.com/Non-case-sensitive-nice-URL-tf2643746.htmlI use nice URL to mount some page in the usual way :mountBookmarkablePage('/Organization'  Organization.class);That is great  but it will make an error if a user enter the url by hand and decide to not use case sensitive. I mean  I can mount organization without the capital letter  but it would make the same error if the user use Capital after that.Is there a way of using Nice URL that is not case sensitive?ThanksMarc,1.2.3,2.0 branch (discontinued); 1.3.0-beta1,0,0,76,1,1,1,0,0,0,0,0,0,4,4,wicket-examples/src/main/java/wicket/examples/niceurl/NiceUrlApplication.java;wicket/src/main/java/wicket/protocol/http/request/WebRequestCodingStrategy.java;wicket-examples/src/main/java/wicket/examples/niceurl/NiceUrlApplication.java;wicket/src/main/java/wicket/protocol/http/request/WebRequestCodingStrategy.java;,1,3
85,Bug,Closed,Fixed,wicket,Major,Jean-Baptiste Quenot,2006/11/17 17:09:41 +0100,,Unassigned,2006/11/20 05:26:53 +0100,2.511944444,,FormTester does not set request parameters for unchanged form fields,When using the FormTester  the Form is correctly having its field values  but FormTester does not call setFormComponentValue() for every field. Thus  the request parameters are not set for the next request  when submit() is called.The workaround is to call setValue() for every field.The attached patch fixes the problem for AbstractTextComponent. It also adds a new method getTextComponentValue() as a shortcut to access a field value.,1.2.3,,0,0,66,0,2,2,0,0,0,0,0,0,2,2,wicket/src/main/java/wicket/util/tester/FormTester.java;wicket/src/main/java/wicket/util/tester/FormTester.java;,0,0
88,Bug,Resolved,Fixed,wicket,Major,Juergen Donnerstag,2006/11/18 11:37:56 +0100,2006/11/18 19:26:57 +0100,Igor Vaynberg,2006/11/18 21:02:57 +0100,0.392372685,0.066666667,NPE in Check.java,The Forms examples fails with an NPE in Check.java if (group.hasRawInput()) { String[] inputs = group.getInputAsArray(); for (String input : inputs) &lt;&lt;&lt;&lt;&lt;&lt; NPE { if (value.equals(input)) { tag.put('checked'  'checked'); } } }Juergen,2.0 branch (discontinued),2.0 branch (discontinued); 1.3.0-beta1,0,0,32,1,0,0,0,0,0,0,0,0,2,2,wicket/src/main/java/wicket/markup/html/form/Check.java;wicket/src/main/java/wicket/markup/html/form/Check.java;,0,0
91,Improvement,Closed,Fixed,wicket,Trivial,Dmitry Kandalov,2006/11/18 13:50:59 +0100,,Unassigned,2006/11/18 21:18:13 +0100,0.310578704,,Russian Application.properties,Russian Application.properties,2.0 branch (discontinued); 1.3.0-beta1,,0,0,1,0,2,2,0,0,0,0,0,0,2,2,wicket/src/main/java/wicket/Application_ru.properties;wicket/src/main/java/wicket/Application_ru.properties;,0,0
100,Improvement,Resolved,Fixed,,Major,Eelco Hillenius,2006/11/21 21:54:07 +0100,2006/11/21 21:54:12 +0100,Eelco Hillenius,2006/11/25 22:59:56 +0100,4.045706019,4.045648148,extract IPageMap interface from PageMap,If we extract a IPageMap interface from PageMap  it will make it easier for clients to provide wrapped/ proxied implementions and gives them more options for implementing custom ISessionStores.,2.0 branch (discontinued); 1.3.0-beta1,2.0 branch (discontinued); 1.3.0-beta1,0,0,29,1,5,1,0,0,0,0,0,0,8,68,wicket-examples/src/main/java/wicket/examples/debug/PageMapView.java;wicket-examples/src/main/java/wicket/examples/debug/SessionView.java;wicket-extensions/src/main/java/wicket/extensions/ajax/markup/html/modal/ModalWindow.java;wicket/src/main/java/wicket/AccessStackPageMap.java;wicket/src/main/java/wicket/Component.java;wicket/src/main/java/wicket/IPageMap.java;wicket/src/main/java/wicket/Page.java;wicket/src/main/java/wicket/PageMap.java;wicket/src/main/java/wicket/RequestCycle.java;wicket/src/main/java/wicket/RestartResponseAtInterceptPageException.java;wicket/src/main/java/wicket/Session.java;wicket/src/main/java/wicket/markup/html/WebPage.java;wicket/src/main/java/wicket/markup/html/link/BookmarkablePageLink.java;wicket/src/main/java/wicket/markup/html/link/ExternalLink.java;wicket/src/main/java/wicket/markup/html/link/InlineFrame.java;wicket/src/main/java/wicket/markup/html/link/InternalFrame.java;wicket/src/main/java/wicket/markup/html/link/Link.java;wicket/src/main/java/wicket/markup/html/link/PopupSettings.java;wicket/src/main/java/wicket/protocol/http/ClientPageSavingSessionStore.java;wicket/src/main/java/wicket/protocol/http/HttpSessionStore.java;wicket/src/main/java/wicket/protocol/http/MockHttpServletRequest.java;wicket/src/main/java/wicket/protocol/http/SecondLevelCacheSessionStore.java;wicket/src/main/java/wicket/protocol/http/WebApplication.java;wicket/src/main/java/wicket/protocol/http/portlet/PortletPage.java;wicket/src/main/java/wicket/protocol/http/portlet/PortletRequestCodingStrategy.java;wicket/src/main/java/wicket/protocol/http/portlet/PortletSessionStore.java;wicket/src/main/java/wicket/protocol/http/request/AbstractWebRequestCodingStrategy.java;wicket/src/main/java/wicket/protocol/http/request/urlcompressing/WebURLCompressingCodingStrategy.java;wicket/src/main/java/wicket/session/ISessionStore.java;wicket/src/main/java/wicket/session/pagemap/IPageMapEvictionStrategy.java;wicket/src/main/java/wicket/session/pagemap/LeastRecentlyAccessedEvictionStrategy.java;wicket/src/main/java/wicket/util/tester/WicketTester.java;wicket-extensions/src/main/java/wicket/extensions/ajax/markup/html/modal/ModalWindow.java;wicket/src/main/java/wicket/protocol/http/portlet/PortletPage.java;wicket-examples/src/main/java/wicket/examples/debug/PageMapView.java;wicket-examples/src/main/java/wicket/examples/debug/SessionView.java;wicket/src/main/java/wicket/AccessStackPageMap.java;wicket/src/main/java/wicket/Session.java;wicket/src/main/java/wicket/util/tester/WicketTester.java;wicket/src/main/java/wicket/AccessStackPageMap.java;wicket/src/main/java/wicket/Component.java;wicket/src/main/java/wicket/IPageMap.java;wicket/src/main/java/wicket/Page.java;wicket/src/main/java/wicket/PageMap.java;wicket/src/main/java/wicket/RequestCycle.java;wicket/src/main/java/wicket/RestartResponseAtInterceptPageException.java;wicket/src/main/java/wicket/Session.java;wicket/src/main/java/wicket/markup/html/WebPage.java;wicket/src/main/java/wicket/markup/html/link/BookmarkablePageLink.java;wicket/src/main/java/wicket/markup/html/link/ExternalLink.java;wicket/src/main/java/wicket/markup/html/link/InlineFrame.java;wicket/src/main/java/wicket/markup/html/link/InternalFrame.java;wicket/src/main/java/wicket/markup/html/link/Link.java;wicket/src/main/java/wicket/markup/html/link/PopupSettings.java;wicket/src/main/java/wicket/protocol/http/HttpSessionStore.java;wicket/src/main/java/wicket/protocol/http/MockHttpServletRequest.java;wicket/src/main/java/wicket/protocol/http/RequestLogger.java;wicket/src/main/java/wicket/protocol/http/SecondLevelCacheSessionStore.java;wicket/src/main/java/wicket/protocol/http/WebApplication.java;wicket/src/main/java/wicket/protocol/http/portlet/PortletRequestCodingStrategy.java;wicket/src/main/java/wicket/protocol/http/portlet/PortletRequestTargetResolverStrategy.java;wicket/src/main/java/wicket/protocol/http/portlet/PortletSessionStore.java;wicket/src/main/java/wicket/protocol/http/request/WebRequestCodingStrategy.java;wicket/src/main/java/wicket/protocol/http/request/urlcompressing/WebURLCompressingCodingStrategy.java;wicket/src/main/java/wicket/request/compound/DefaultRequestTargetResolverStrategy.java;wicket/src/main/java/wicket/session/ISessionStore.java;wicket/src/main/java/wicket/session/pagemap/IPageMapEvictionStrategy.java;wicket/src/main/java/wicket/session/pagemap/LeastRecentlyAccessedEvictionStrategy.java;,0,0
